GEO_ID,State ID,County ID,Census Tract ID,NAME,State Total,Total Non-White,Unemployment Rate Ages 16+,Total Population,Total Population Under 5,Total Population over 64,Total Households,Total Households Below Poverty,Estimate!!Total!!All households,Estimate!!Limited English-speaking households!!All households,Total Households,Housing Burdened Homes,Total,Total Less Than High School Education
1400000US37001021205,37,1,37001021205,"Census Tract 212.05, Alamance County, North Carolina",7701,4178,4.8,7701,457,832,3184,368,3184,14,1775,263,5242,263
1400000US37001021206,37,1,37001021206,"Census Tract 212.06, Alamance County, North Carolina",5582,2172,5.1,5582,211,716,2096,90,2096,32,1124,144,3786,265
1400000US37001021207,37,1,37001021207,"Census Tract 212.07, Alamance County, North Carolina",3445,803,8.4,3445,244,857,1488,266,1488,0,1017,208,2510,111
1400000US37001021300,37,1,37001021300,"Census Tract 213, Alamance County, North Carolina",6145,2047,3.8,6145,363,1194,2343,207,2343,11,1989,404,4383,472
1400000US37001021400,37,1,37001021400,"Census Tract 214, Alamance County, North Carolina",2420,498,5,2420,99,539,1061,112,1061,0,894,138,1882,157
1400000US37001021500,37,1,37001021500,"Census Tract 215, Alamance County, North Carolina",4579,690,6,4579,213,653,1603,50,1603,30,1472,204,3350,270
1400000US37001021600,37,1,37001021600,"Census Tract 216, Alamance County, North Carolina",7661,1658,2.6,7661,392,1049,2281,209,2281,1,1622,250,3882,519
1400000US37001021701,37,1,37001021701,"Census Tract 217.01, Alamance County, North Carolina",3455,385,2.2,3455,85,1175,1580,90,1580,0,1159,125,2780,101
1400000US37001021702,37,1,37001021702,"Census Tract 217.02, Alamance County, North Carolina",6612,1236,4,6612,175,774,1961,571,1961,0,1327,158,2962,145
1400000US37001021703,37,1,37001021703,"Census Tract 217.03, Alamance County, North Carolina",7437,3116,5,7437,531,897,3082,147,3082,160,1499,421,4938,300
1400000US37001021801,37,1,37001021801,"Census Tract 218.01, Alamance County, North Carolina",4808,458,2.8,4808,159,965,1796,113,1796,4,1534,207,3352,228
1400000US37001021802,37,1,37001021802,"Census Tract 218.02, Alamance County, North Carolina",3903,258,6,3903,226,531,1480,142,1480,0,1176,217,2630,252
1400000US37001021803,37,1,37001021803,"Census Tract 218.03, Alamance County, North Carolina",3332,256,1,3332,231,542,1208,85,1208,0,945,133,2412,287
1400000US37001021901,37,1,37001021901,"Census Tract 219.01, Alamance County, North Carolina",5005,851,4.9,5005,454,982,1971,232,1971,0,1721,241,3660,295
1400000US37001021902,37,1,37001021902,"Census Tract 219.02, Alamance County, North Carolina",3901,1015,3.7,3901,169,610,1615,156,1615,59,1276,207,2785,310
1400000US37001022001,37,1,37001022001,"Census Tract 220.01, Alamance County, North Carolina",3657,678,5.6,3657,259,792,1437,86,1437,23,1237,242,2607,314
1400000US37001022002,37,1,37001022002,"Census Tract 220.02, Alamance County, North Carolina",4236,1394,6.7,4236,168,608,1674,244,1674,62,1342,318,2874,482
1400000US37003040100,37,3,37003040100,"Census Tract 401, Alexander County, North Carolina",3104,183,7,3104,129,589,1177,135,1177,0,990,124,2425,282
1400000US37003040200,37,3,37003040200,"Census Tract 402, Alexander County, North Carolina",3714,500,14.6,3714,91,906,1624,115,1624,0,1490,152,2759,415
1400000US37003040300,37,3,37003040300,"Census Tract 403, Alexander County, North Carolina",3058,97,4.4,3058,146,606,1245,163,1245,0,929,114,2106,410
1400000US37003040400,37,3,37003040400,"Census Tract 404, Alexander County, North Carolina",6344,1744,1.5,6344,340,1607,2542,503,2542,19,1863,305,4385,843
1400000US37003040500,37,3,37003040500,"Census Tract 405, Alexander County, North Carolina",6637,757,2.8,6637,287,1267,2431,241,2431,19,1937,222,4822,582
1400000US37003040600,37,3,37003040600,"Census Tract 406, Alexander County, North Carolina",6752,1066,4.1,6752,334,970,1854,123,1854,0,1453,112,4692,885
1400000US37003040700,37,3,37003040700,"Census Tract 407, Alexander County, North Carolina",6882,639,3.5,6882,273,1437,2623,219,2623,0,2192,506,4993,504
1400000US37005950100,37,5,37005950100,"Census Tract 9501, Alleghany County, North Carolina",4097,432,6.4,4097,176,994,1757,395,1757,15,1436,258,3107,585
1400000US37005950200,37,5,37005950200,"Census Tract 9502, Alleghany County, North Carolina",3889,704,2.2,3889,138,1019,1653,279,1653,4,1132,301,2966,762
1400000US37005950300,37,5,37005950300,"Census Tract 9503, Alleghany County, North Carolina",2924,361,4.9,2924,140,992,1362,220,1362,56,1161,187,2310,375
1400000US37007920100,37,7,37007920100,"Census Tract 9201, Anson County, North Carolina",2978,1778,6.9,2978,178,478,1271,181,1271,0,959,320,2107,298
1400000US37007920200,37,7,37007920200,"Census Tract 9202, Anson County, North Carolina",1733,742,2.3,1733,123,404,719,191,719,0,522,145,1299,226
1400000US37007920301,37,7,37007920301,"Census Tract 9203.01, Anson County, North Carolina",4433,1589,3.6,4433,151,911,1705,182,1705,53,1322,266,3141,683
1400000US37007920302,37,7,37007920302,"Census Tract 9203.02, Anson County, North Carolina",461,151,0,461,26,56,146,0,146,0,121,44,392,27
1400000US37007920400,37,7,37007920400,"Census Tract 9204, Anson County, North Carolina",2753,2091,10.1,2753,319,357,1024,359,1024,0,505,218,1547,129
1400000US37007920501,37,7,37007920501,"Census Tract 9205.01, Anson County, North Carolina",922,679,0,922,105,92,390,43,390,0,265,68,649,217
1400000US37007920502,37,7,37007920502,"Census Tract 9205.02, Anson County, North Carolina",4369,2763,11.4,4369,96,1174,1690,295,1690,0,951,152,3247,598
1400000US37007920600,37,7,37007920600,"Census Tract 9206, Anson County, North Carolina",3441,1903,10.9,3441,124,658,1436,176,1436,23,995,238,2418,314
1400000US37007980000,37,7,37007980000,"Census Tract 9800, Anson County, North Carolina",1298,769,-,1298,0,61,0,0,0,0,0,0,1203,312
1400000US37009970200,37,9,37009970200,"Census Tract 9702, Ashe County, North Carolina",2898,217,1.4,2898,46,702,1162,138,1162,0,1036,129,2077,401
1400000US37009970300,37,9,37009970300,"Census Tract 9703, Ashe County, North Carolina",2335,199,1.9,2335,34,667,1034,176,1034,25,842,109,1860,267
1400000US37009970400,37,9,37009970400,"Census Tract 9704, Ashe County, North Carolina",4857,574,8.6,4857,285,1121,2152,253,2152,0,1686,260,3515,400
1400000US37009970501,37,9,37009970501,"Census Tract 9705.01, Ashe County, North Carolina",2714,296,13.4,2714,97,707,1254,267,1254,52,809,198,2238,231
1400000US37009970502,37,9,37009970502,"Census Tract 9705.02, Ashe County, North Carolina",2868,377,5,2868,151,720,1189,211,1189,70,780,89,2191,322
1400000US37009970701,37,9,37009970701,"Census Tract 9707.01, Ashe County, North Carolina",3673,39,3.7,3673,54,973,1780,154,1780,15,1541,407,3007,435
1400000US37009970702,37,9,37009970702,"Census Tract 9707.02, Ashe County, North Carolina",1785,97,1.7,1785,23,709,856,44,856,0,832,147,1562,90
1400000US37009970801,37,9,37009970801,"Census Tract 9708.01, Ashe County, North Carolina",2098,158,2.7,2098,63,557,936,264,936,0,724,91,1570,239
1400000US37009970802,37,9,37009970802,"Census Tract 9708.02, Ashe County, North Carolina",3370,157,2.6,3370,313,709,1360,280,1360,0,926,56,2307,253
1400000US37011930100,37,11,37011930100,"Census Tract 9301, Avery County, North Carolina",3762,410,8.6,3762,110,833,1261,171,1261,8,1009,318,2313,275
1400000US37011930200,37,11,37011930200,"Census Tract 9302, Avery County, North Carolina",2755,327,1.6,2755,189,733,1194,112,1194,0,901,175,2219,176
1400000US37011930301,37,11,37011930301,"Census Tract 9303.01, Avery County, North Carolina",3380,244,6.8,3380,68,1046,1639,342,1639,25,1091,163,2790,462
1400000US37011930302,37,11,37011930302,"Census Tract 9303.02, Avery County, North Carolina",2488,125,9.2,2488,118,473,1029,233,1029,0,813,199,1951,223
1400000US37011930400,37,11,37011930400,"Census Tract 9304, Avery County, North Carolina",5362,1107,2.1,5362,129,780,1255,101,1255,8,1134,124,4343,755
1400000US37013930101,37,13,37013930101,"Census Tract 9301.01, Beaufort County, North Carolina",3442,1175,4.4,3442,102,603,1122,111,1122,0,862,146,2088,222
1400000US37013930102,37,13,37013930102,"Census Tract 9301.02, Beaufort County, North Carolina",1672,912,4.6,1672,43,459,687,180,687,7,431,179,1239,215
1400000US37013930200,37,13,37013930200,"Census Tract 9302, Beaufort County, North Carolina",6056,2135,7.2,6056,254,1200,2353,499,2353,0,1577,453,4323,588
1400000US37013930300,37,13,37013930300,"Census Tract 9303, Beaufort County, North Carolina",3625,2306,12.4,3625,271,746,1638,421,1638,9,763,265,2486,264
1400000US37013930400,37,13,37013930400,"Census Tract 9304, Beaufort County, North Carolina",5293,2307,7.4,5293,267,1335,2314,703,2314,50,1140,418,3875,533
1400000US37013930501,37,13,37013930501,"Census Tract 9305.01, Beaufort County, North Carolina",3734,1165,10.7,3734,214,935,1781,335,1781,3,1292,358,2849,456
1400000US37013930502,37,13,37013930502,"Census Tract 9305.02, Beaufort County, North Carolina",3511,1186,6.8,3511,202,605,1398,158,1398,73,1199,307,2403,344
1400000US37013930600,37,13,37013930600,"Census Tract 9306, Beaufort County, North Carolina",3060,133,2.7,3060,131,764,1213,86,1213,0,1087,89,2330,57
1400000US37013930700,37,13,37013930700,"Census Tract 9307, Beaufort County, North Carolina",2464,127,2.7,2464,117,740,1166,164,1166,20,1033,272,2003,166
1400000US37013930800,37,13,37013930800,"Census Tract 9308, Beaufort County, North Carolina",2350,1223,6.1,2350,71,591,941,233,941,0,802,209,1695,202
1400000US37013930900,37,13,37013930900,"Census Tract 9309, Beaufort County, North Carolina",3670,647,0.7,3670,131,1495,1609,90,1609,0,1502,320,3020,243
1400000US37013931001,37,13,37013931001,"Census Tract 9310.01, Beaufort County, North Carolina",2980,775,8.5,2980,204,511,1075,207,1075,0,744,96,2219,450
1400000US37013931002,37,13,37013931002,"Census Tract 9310.02, Beaufort County, North Carolina",3041,1449,9.3,3041,161,677,1282,201,1282,30,894,256,2164,286
1400000US37015960100,37,15,37015960100,"Census Tract 9601, Bertie County, North Carolina",4998,2626,1.5,4998,112,1396,2066,488,2066,0,1598,459,3856,743
1400000US37015960200,37,15,37015960200,"Census Tract 9602, Bertie County, North Carolina",3794,2525,6.2,3794,285,577,1549,398,1549,0,1198,316,2653,565
1400000US37015960300,37,15,37015960300,"Census Tract 9603, Bertie County, North Carolina",3189,2625,10.6,3189,177,598,1324,334,1324,0,956,355,2262,364
1400000US37015960401,37,15,37015960401,"Census Tract 9604.01, Bertie County, North Carolina",2795,1507,16.3,2795,92,1134,1316,264,1316,0,904,242,2190,390
1400000US37015960402,37,15,37015960402,"Census Tract 9604.02, Bertie County, North Carolina",3329,2645,11.2,3329,96,522,933,321,933,0,604,260,2579,624
1400000US37017950101,37,17,37017950101,"Census Tract 9501.01, Bladen County, North Carolina",2686,1174,7.5,2686,215,333,800,71,800,0,656,144,1862,260
1400000US37017950102,37,17,37017950102,"Census Tract 9501.02, Bladen County, North Carolina",1882,663,1.1,1882,65,639,865,280,865,0,551,124,1597,303
1400000US37017950200,37,17,37017950200,"Census Tract 9502, Bladen County, North Carolina",2408,1279,12.7,2408,103,317,995,246,995,92,712,196,1792,353
1400000US37017950301,37,17,37017950301,"Census Tract 9503.01, Bladen County, North Carolina",3126,1425,2.7,3126,142,476,966,273,966,32,637,92,1944,313
1400000US37017950302,37,17,37017950302,"Census Tract 9503.02, Bladen County, North Carolina",2883,763,2.2,2883,224,647,1259,356,1259,31,881,192,2251,345
1400000US37017950401,37,17,37017950401,"Census Tract 9504.01, Bladen County, North Carolina",3496,2025,0,3496,282,847,1539,728,1539,58,801,311,2461,497
1400000US37017950402,37,17,37017950402,"Census Tract 9504.02, Bladen County, North Carolina",2547,1528,2,2547,40,649,784,110,784,29,609,127,1500,126
1400000US37017950501,37,17,37017950501,"Census Tract 9505.01, Bladen County, North Carolina",3022,524,0.7,3022,118,630,1008,81,1008,0,831,277,2168,269
1400000US37017950502,37,17,37017950502,"Census Tract 9505.02, Bladen County, North Carolina",3441,1068,12,3441,152,1065,1378,364,1378,0,900,225,2681,244
1400000US37017950601,37,17,37017950601,"Census Tract 9506.01, Bladen County, North Carolina",2540,1539,12.1,2540,127,573,1027,325,1027,0,490,147,1594,316
1400000US37017950602,37,17,37017950602,"Census Tract 9506.02, Bladen County, North Carolina",2074,1712,13.5,2074,64,459,871,213,871,2,757,283,1654,203
1400000US37019020101,37,19,37019020101,"Census Tract 201.01, Brunswick County, North Carolina",2242,1399,5.4,2242,176,324,944,200,944,19,739,238,1530,314
1400000US37019020102,37,19,37019020102,"Census Tract 201.02, Brunswick County, North Carolina",5505,1298,4.7,5505,203,1461,2544,253,2544,37,2229,539,4387,346
1400000US37019020105,37,19,37019020105,"Census Tract 201.05, Brunswick County, North Carolina",6359,1187,5.3,6359,307,2218,2852,120,2852,30,2436,495,5135,206
1400000US37019020106,37,19,37019020106,"Census Tract 201.06, Brunswick County, North Carolina",3027,409,5.8,3027,48,454,1179,170,1179,0,860,83,2068,303
1400000US37019020107,37,19,37019020107,"Census Tract 201.07, Brunswick County, North Carolina",3910,1616,3.9,3910,310,288,1196,88,1196,0,912,231,2624,146
1400000US37019020108,37,19,37019020108,"Census Tract 201.08, Brunswick County, North Carolina",3012,1301,2.9,3012,78,484,1079,160,1079,0,914,305,2068,151
1400000US37019020201,37,19,37019020201,"Census Tract 202.01, Brunswick County, North Carolina",5866,1933,6.5,5866,398,888,2409,418,2409,14,1465,379,4097,315
1400000US37019020203,37,19,37019020203,"Census Tract 202.03, Brunswick County, North Carolina",2160,317,2.8,2160,140,386,866,78,866,0,774,177,1640,200
1400000US37019020204,37,19,37019020204,"Census Tract 202.04, Brunswick County, North Carolina",6978,909,9.1,6978,170,1797,2832,351,2832,33,2182,499,5162,347
1400000US37019020205,37,19,37019020205,"Census Tract 202.05, Brunswick County, North Carolina",7961,1179,3.2,7961,224,3176,3319,82,3319,0,2964,469,6563,121
1400000US37019020206,37,19,37019020206,"Census Tract 202.06, Brunswick County, North Carolina",1695,401,3.1,1695,80,308,768,114,768,47,655,102,1304,97
1400000US37019020304,37,19,37019020304,"Census Tract 203.04, Brunswick County, North Carolina",9689,727,16.9,9689,165,5006,4370,286,4370,141,4072,721,8833,250
1400000US37019020305,37,19,37019020305,"Census Tract 203.05, Brunswick County, North Carolina",2834,711,6.5,2834,100,1193,1441,98,1441,0,1036,365,2424,62
1400000US37019020306,37,19,37019020306,"Census Tract 203.06, Brunswick County, North Carolina",1892,132,0.9,1892,56,805,821,61,821,6,711,206,1734,101
1400000US37019020307,37,19,37019020307,"Census Tract 203.07, Brunswick County, North Carolina",155,2,0,155,0,134,89,3,89,0,89,44,155,0
1400000US37019020308,37,19,37019020308,"Census Tract 203.08, Brunswick County, North Carolina",2214,212,5.7,2214,33,783,848,17,848,6,769,189,1792,44
1400000US37019020311,37,19,37019020311,"Census Tract 203.11, Brunswick County, North Carolina",2787,235,4,2787,134,1244,1204,111,1204,0,996,275,2268,125
1400000US37019020312,37,19,37019020312,"Census Tract 203.12, Brunswick County, North Carolina",1142,129,6.4,1142,0,400,534,77,534,0,534,48,1009,78
1400000US37019020313,37,19,37019020313,"Census Tract 203.13, Brunswick County, North Carolina",2442,36,4.1,2442,59,798,1203,82,1203,0,1049,258,2174,68
1400000US37019020314,37,19,37019020314,"Census Tract 203.14, Brunswick County, North Carolina",366,23,0,366,0,70,191,0,191,0,178,18,336,0
1400000US37019020315,37,19,37019020315,"Census Tract 203.15, Brunswick County, North Carolina",2059,52,1.7,2059,52,793,1004,194,1004,0,779,211,1888,167
1400000US37019020316,37,19,37019020316,"Census Tract 203.16, Brunswick County, North Carolina",687,31,2.9,687,3,354,326,36,326,0,318,112,628,0
1400000US37019020404,37,19,37019020404,"Census Tract 204.04, Brunswick County, North Carolina",2865,468,0.9,2865,141,641,1250,153,1250,11,928,207,2097,304
1400000US37019020405,37,19,37019020405,"Census Tract 204.05, Brunswick County, North Carolina",3528,166,5.3,3528,178,966,1306,105,1306,0,1064,263,2582,411
1400000US37019020406,37,19,37019020406,"Census Tract 204.06, Brunswick County, North Carolina",952,32,1.6,952,15,358,449,25,449,0,411,105,875,28
1400000US37019020407,37,19,37019020407,"Census Tract 204.07, Brunswick County, North Carolina",1685,59,8.6,1685,0,566,777,255,777,0,675,227,1565,103
1400000US37019020408,37,19,37019020408,"Census Tract 204.08, Brunswick County, North Carolina",2924,1090,1.6,2924,68,574,1203,310,1203,0,692,192,2125,559
1400000US37019020409,37,19,37019020409,"Census Tract 204.09, Brunswick County, North Carolina",1750,177,6,1750,0,554,933,257,933,11,777,298,1253,114
1400000US37019020504,37,19,37019020504,"Census Tract 205.04, Brunswick County, North Carolina",1909,123,1.1,1909,0,1385,981,46,981,5,939,255,1829,22
1400000US37019020505,37,19,37019020505,"Census Tract 205.05, Brunswick County, North Carolina",3131,1145,4.2,3131,277,496,1209,201,1209,63,847,164,2155,348
1400000US37019020508,37,19,37019020508,"Census Tract 205.08, Brunswick County, North Carolina",2772,349,11.7,2772,41,1710,1419,113,1419,4,1107,221,2640,46
1400000US37019020510,37,19,37019020510,"Census Tract 205.10, Brunswick County, North Carolina",2589,224,1.5,2589,81,790,1245,195,1245,0,962,328,2037,165
1400000US37019020511,37,19,37019020511,"Census Tract 205.11, Brunswick County, North Carolina",2083,152,4.4,2083,91,824,932,148,932,0,787,259,1738,83
1400000US37019020512,37,19,37019020512,"Census Tract 205.12, Brunswick County, North Carolina",920,37,2.4,920,7,556,498,24,498,2,479,162,851,22
1400000US37019020513,37,19,37019020513,"Census Tract 205.13, Brunswick County, North Carolina",1405,355,8.2,1405,102,232,546,12,546,0,393,49,969,152
1400000US37019020514,37,19,37019020514,"Census Tract 205.14, Brunswick County, North Carolina",2856,146,1.8,2856,97,962,1231,140,1231,0,1081,331,2267,103
1400000US37019020515,37,19,37019020515,"Census Tract 205.15, Brunswick County, North Carolina",4164,751,5.4,4164,87,2168,2105,97,2105,0,1768,260,3608,95
1400000US37019020516,37,19,37019020516,"Census Tract 205.16, Brunswick County, North Carolina",4351,295,8.2,4351,62,1926,2114,160,2114,6,1922,312,3838,237
1400000US37019020517,37,19,37019020517,"Census Tract 205.17, Brunswick County, North Carolina",2737,265,6.5,2737,69,863,1277,259,1277,0,1072,280,2302,121
1400000US37019020518,37,19,37019020518,"Census Tract 205.18, Brunswick County, North Carolina",2967,118,10.5,2967,93,1272,1404,48,1404,15,1226,199,2595,25
1400000US37019020601,37,19,37019020601,"Census Tract 206.01, Brunswick County, North Carolina",4816,2135,2,4816,405,977,1762,287,1762,0,1160,188,3250,562
1400000US37019020602,37,19,37019020602,"Census Tract 206.02, Brunswick County, North Carolina",4910,1494,6,4910,291,780,2038,184,2038,8,1655,406,3442,457
1400000US37019020603,37,19,37019020603,"Census Tract 206.03, Brunswick County, North Carolina",3493,1175,6.4,3493,150,661,1114,180,1114,0,762,101,2588,273
1400000US37019990100,37,19,37019990100,"Census Tract 9901, Brunswick County, North Carolina",0,0,-,0,0,0,0,0,0,0,0,0,0,0
1400000US37021000100,37,21,37021000100,"Census Tract 1, Buncombe County, North Carolina",1400,517,5,1400,0,415,578,213,578,4,123,37,1345,267
1400000US37021000200,37,21,37021000200,"Census Tract 2, Buncombe County, North Carolina",1362,464,3.5,1362,19,252,597,158,597,0,247,39,1129,43
1400000US37021000300,37,21,37021000300,"Census Tract 3, Buncombe County, North Carolina",2500,667,2,2500,87,325,1026,335,1026,4,459,138,1632,44
1400000US37021000400,37,21,37021000400,"Census Tract 4, Buncombe County, North Carolina",4180,702,5.4,4180,74,541,1361,174,1361,0,494,128,2124,120
1400000US37021000500,37,21,37021000500,"Census Tract 5, Buncombe County, North Carolina",3776,483,1.9,3776,159,1163,1673,148,1673,27,1071,140,2944,27
1400000US37021000600,37,21,37021000600,"Census Tract 6, Buncombe County, North Carolina",1956,284,4.2,1956,82,264,933,75,933,27,494,175,1500,100
1400000US37021000700,37,21,37021000700,"Census Tract 7, Buncombe County, North Carolina",1656,521,1.8,1656,69,165,794,100,794,23,202,31,1296,16
1400000US37021000800,37,21,37021000800,"Census Tract 8, Buncombe County, North Carolina",3446,1246,4.3,3446,146,502,1276,84,1276,0,683,100,2541,96
1400000US37021000900,37,21,37021000900,"Census Tract 9, Buncombe County, North Carolina",3037,1528,6.7,3037,218,594,1403,549,1403,0,547,142,2358,425
1400000US37021001000,37,21,37021001000,"Census Tract 10, Buncombe County, North Carolina",4974,1010,4.1,4974,242,293,1842,287,1842,38,958,200,3568,247
1400000US37021001100,37,21,37021001100,"Census Tract 11, Buncombe County, North Carolina",5322,781,5.2,5322,173,623,2177,134,2177,21,1294,320,4141,74
1400000US37021001200,37,21,37021001200,"Census Tract 12, Buncombe County, North Carolina",4744,331,3.6,4744,301,538,1855,130,1855,23,1083,199,3485,229
1400000US37021001300,37,21,37021001300,"Census Tract 13, Buncombe County, North Carolina",4780,1002,7.5,4780,326,491,1678,364,1678,73,883,275,3126,306
1400000US37021001401,37,21,37021001401,"Census Tract 14.01, Buncombe County, North Carolina",4977,1717,3.1,4977,290,1140,1692,221,1692,140,831,167,3590,346
1400000US37021001402,37,21,37021001402,"Census Tract 14.02, Buncombe County, North Carolina",2793,996,0,2793,118,535,1154,80,1154,64,671,10,1984,201
1400000US37021001500,37,21,37021001500,"Census Tract 15, Buncombe County, North Carolina",3049,638,4.7,3049,121,362,1189,158,1189,12,639,181,2428,346
1400000US37021001601,37,21,37021001601,"Census Tract 16.01, Buncombe County, North Carolina",4493,568,2,4493,229,1072,1716,96,1716,0,1186,180,3254,74
1400000US37021001602,37,21,37021001602,"Census Tract 16.02, Buncombe County, North Carolina",3364,450,1.1,3364,101,1005,1477,160,1477,49,696,170,2769,254
1400000US37021001700,37,21,37021001700,"Census Tract 17, Buncombe County, North Carolina",2973,296,1.7,2973,75,927,1362,64,1362,10,1132,177,2382,41
1400000US37021001801,37,21,37021001801,"Census Tract 18.01, Buncombe County, North Carolina",3228,550,0.7,3228,93,1219,1811,171,1811,11,790,236,2747,49
1400000US37021001802,37,21,37021001802,"Census Tract 18.02, Buncombe County, North Carolina",5382,874,2.2,5382,277,1129,2208,177,2208,84,1136,172,4184,176
1400000US37021001900,37,21,37021001900,"Census Tract 19, Buncombe County, North Carolina",3942,281,2.2,3942,197,1346,2019,216,2019,20,1238,212,3168,33
1400000US37021002000,37,21,37021002000,"Census Tract 20, Buncombe County, North Carolina",6971,2246,4.4,6971,236,1444,2907,509,2907,105,1591,440,5603,785
1400000US37021002101,37,21,37021002101,"Census Tract 21.01, Buncombe County, North Carolina",1638,40,1.5,1638,75,431,565,22,565,0,515,109,1081,4
1400000US37021002102,37,21,37021002102,"Census Tract 21.02, Buncombe County, North Carolina",5551,2199,6,5551,577,820,1947,196,1947,63,1135,207,3692,475
1400000US37021002203,37,21,37021002203,"Census Tract 22.03, Buncombe County, North Carolina",5762,2812,6.8,5762,374,793,1963,337,1963,374,848,146,3968,799
1400000US37021002204,37,21,37021002204,"Census Tract 22.04, Buncombe County, North Carolina",8944,1298,5.2,8944,182,1963,4152,313,4152,23,1459,453,7505,140
1400000US37021002205,37,21,37021002205,"Census Tract 22.05, Buncombe County, North Carolina",6844,1293,6.6,6844,428,1129,2376,84,2376,107,1940,285,4738,213
1400000US37021002206,37,21,37021002206,"Census Tract 22.06, Buncombe County, North Carolina",4619,564,1.3,4619,305,1718,2132,77,2132,24,1191,175,3811,48
1400000US37021002303,37,21,37021002303,"Census Tract 23.03, Buncombe County, North Carolina",6823,1033,0.6,6823,357,1222,2491,88,2491,54,1458,283,4757,96
1400000US37021002304,37,21,37021002304,"Census Tract 23.04, Buncombe County, North Carolina",1541,373,7.4,1541,68,268,564,13,564,0,442,61,1159,2
1400000US37021002305,37,21,37021002305,"Census Tract 23.05, Buncombe County, North Carolina",5602,317,4,5602,174,1343,2355,239,2355,44,1664,220,4382,315
1400000US37021002306,37,21,37021002306,"Census Tract 23.06, Buncombe County, North Carolina",3929,676,1.3,3929,197,624,1812,265,1812,10,1061,232,2986,286
1400000US37021002401,37,21,37021002401,"Census Tract 24.01, Buncombe County, North Carolina",3438,594,0,3438,193,624,1291,236,1291,27,937,83,2382,379
1400000US37021002402,37,21,37021002402,"Census Tract 24.02, Buncombe County, North Carolina",5142,1087,2.8,5142,459,813,1927,259,1927,84,1043,174,3378,548
1400000US37021002503,37,21,37021002503,"Census Tract 25.03, Buncombe County, North Carolina",4631,442,5.8,4631,195,844,1726,205,1726,8,1360,229,3107,175
